物料SKU编码,物料SKU名称,*仓库,*现存量,*可用量,*分类名称
15.003.001.064,365关怀服务卡,华为高新金鹰授权体验店,80.0,80.0,服务
15.003.001.064,365关怀服务卡,华为大兴路龙湖授权体验店,13.0,13.0,服务
15.003.001.064,365关怀服务卡,华为长安万科广场授权体验店,15.0,15.0,服务
15.003.001.064,365关怀服务卡,华为朝阳益田授权体验店,49.0,49.0,服务
10.007.002,5G半成卡,华为西安SKP至臻店,18.0,18.0,UIM卡
10.007.002,5G半成卡,华为高新金鹰授权体验店,46.0,46.0,UIM卡
10.007.002,5G半成卡,华为长乐授权体验店,33.0,33.0,UIM卡
10.007.002,5G半成卡,华为华阳城合作店,99.0,99.0,UIM卡
10.007.002,5G半成卡,华为李家村万达授权体验店,19.0,19.0,UIM卡
10.007.002,5G半成卡,华为智能生活馆西安大唐不夜城,27.0,27.0,UIM卡
10.007.002,5G半成卡,华为高新大茂城授权体验店,62.0,62.0,UIM卡
10.007.002,5G半成卡,华为智能生活馆西安大悦城,19.0,19.0,UIM卡
10.007.002,5G半成卡,华为金辉环球授权体验店,58.0,58.0,UIM卡
10.007.002,5G半成卡,华为智能生活馆西安高新万达,6.0,6.0,UIM卡
10.007.002,5G半成卡,华为凯德广场授权体验店,47.0,47.0,UIM卡
10.007.002,5G半成卡,华为长安万科广场授权体验店,88.0,88.0,UIM卡
10.007.002,5G半成卡,华为朝阳益田授权体验店,60.0,60.0,UIM卡
10.007.002,5G半成卡,华为智能生活馆西安荟聚,9.0,9.0,UIM卡
10.007.002,5G半成卡,华为大兴路龙湖授权体验店,57.0,57.0,UIM卡
10.007.002,5G半成卡,华为高新中大国际授权体验店,42.0,42.0,UIM卡
10.007.002,5G半成卡,华为浐灞优享授权体验店,62.0,62.0,UIM卡
21.009.001,AITO汽车专享车载麦克风(15位串)-演示机,华为-市场部,1.0,1.0,配件
09.999.009.118,COOYEE FIT4 Pro 2.5D钢化膜(定位版),华为高新金鹰授权体验店,3.0,3.0,贴膜
09.001.009.014,COOYEE 华为 mate70 air 钢化膜,华为朝阳益田授权体验店,3.0,3.0,贴膜
09.999.009.070,COOYEE 华为 mate70pro pro+3D热弯钢化膜,华为凯德广场授权体验店,1.0,1.0,贴膜
09.999.009.070,COOYEE 华为 mate70pro pro+3D热弯钢化膜,华为朝阳益田授权体验店,16.0,16.0,贴膜
09.999.009.070,COOYEE 华为 mate70pro pro+3D热弯钢化膜,华为高新金鹰授权体验店,36.0,36.0,贴膜
09.999.009.070,COOYEE 华为 mate70pro pro+3D热弯钢化膜,华为DT51合作店门店仓,1.0,1.0,贴膜
09.999.009.070,COOYEE 华为 mate70pro pro+3D热弯钢化膜,华为西安SKP至臻店,5.0,5.0,贴膜
09.999.009.070,COOYEE 华为 mate70pro pro+3D热弯钢化膜,华为智能生活馆西安大悦城,12.0,12.0,贴膜
09.999.009.070,COOYEE 华为 mate70pro pro+3D热弯钢化膜,华为大兴路龙湖授权体验店,3.0,3.0,贴膜
09.999.009.070,COOYEE 华为 mate70pro pro+3D热弯钢化膜,华为长乐授权体验店,17.0,17.0,贴膜
09.999.009.070,COOYEE 华为 mate70pro pro+3D热弯钢化膜,华为智能生活馆西安荟聚,32.0,32.0,贴膜
09.999.009.070,COOYEE 华为 mate70pro pro+3D热弯钢化膜,华为金辉环球授权体验店,13.0,13.0,贴膜
09.999.009.070,COOYEE 华为 mate70pro pro+3D热弯钢化膜,华为智能生活馆西安大唐不夜城,5.0,5.0,贴膜
09.999.009.070,COOYEE 华为 mate70pro pro+3D热弯钢化膜,华为长安万科广场授权体验店,4.0,4.0,贴膜
09.999.009.070,COOYEE 华为 mate70pro pro+3D热弯钢化膜,华为高新中大国际授权体验店,8.0,8.0,贴膜
09.999.009.070,COOYEE 华为 mate70pro pro+3D热弯钢化膜,华为高新大茂城授权体验店,10.0,10.0,贴膜
09.999.009.070,COOYEE 华为 mate70pro pro+3D热弯钢化膜,华为华阳城合作店,20.0,20.0,贴膜
09.999.009.070,COOYEE 华为 mate70pro pro+3D热弯钢化膜,华为李家村万达授权体验店,31.0,31.0,贴膜
09.999.009.070,COOYEE 华为 mate70pro pro+3D热弯钢化膜,华为智能生活馆西安高新万达,15.0,15.0,贴膜
09.999.009.071,COOYEE 华为 mate70钢化膜,华为李家村万达授权体验店,2.0,2.0,贴膜
09.999.009.071,COOYEE 华为 mate70钢化膜,华为西安SKP至臻店,2.0,2.0,贴膜
09.999.009.071,COOYEE 华为 mate70钢化膜,华为智能生活馆西安荟聚,5.0,5.0,贴膜
09.999.009.071,COOYEE 华为 mate70钢化膜,华为智能生活馆西安大悦城,3.0,3.0,贴膜
09.999.009.071,COOYEE 华为 mate70钢化膜,华为高新中大国际授权体验店,1.0,1.0,贴膜
09.999.009.071,COOYEE 华为 mate70钢化膜,华为智能生活馆西安大唐不夜城,3.0,3.0,贴膜
09.999.009.071,COOYEE 华为 mate70钢化膜,华为华阳城合作店,1.0,1.0,贴膜
09.999.009.071,COOYEE 华为 mate70钢化膜,华为高新金鹰授权体验店,5.0,5.0,贴膜
